"","Cuadrata","Tiempo","Actinaria","Artifact","Biotic (unknown)","Colpophyllia","Crustose coraline","Cyanobacteria","Dictyota sp.","Eunicea sp.","Favia fragum","Galaxaura sp.","Other (Calcareous algae)","Other (Fleshy algae)","Other (Scleractinian encrusting)","Other (Sponge encrusting)","Other (Sponge erect)","Other (Sponge massive)","Padina sp.","Pseudodiploria strigosa","Rubble","Sand","Siderastrea siderea","Ventricaria sp.","Turf","Agaricia","Orbicella","Porites"
"1","C04",1,0,0.240141,0,0,1.41705,0,12.6407,0,0,0,0,0,0,0.707748,0,0,0,0,0,20.8135,0.127433,0,60.4504,3.603024,0,0
"2","C04",2,0,0.617207,0,0,0,20.1169,4.18216,0,0,0,0,0,0,0.542312,0.0305266,0,0,0,0,18.6911,0.198735,0,49.6434,5.9776793,0,0
"3","C04",3,0,0,0,0,0.670098,6.52461,24.3994,0,0,0,0,1.50416,0,0.0640018,0.356614,0,0,0,0,7.84716,0.137733,0,52.4582,6.0380087,0,0
"4","C04",4,0,0,0,0,1.15092,0,8.71884,0,0,0,0,0.173957,0,0.135779,0,1.24184,0,0,0,13.8588,0.146543,0,67.909,6.6643075,0,0
"5","C06",1,0,0,0.20266,0.0581501,0.363877,0,4.63394,0,0,0,0,0.889098,0,0.394962,0.390445,0.261281,0,0.205039,0,1.73698,0,0,88.4973,0,0.0578829,2.30834
"6","C06",2,2.43067,0.910582,0,0,0.0671784,9.48163,6.34659,0,0,0,0,7.16574,0,0.0855362,0.57452,0.18117,0,0.303093,0,0,0,0,73.2437,0.134357,0.061789,2.073398
"7","C06",3,4.03777,0,0,0,0.266965,0,15.4854,0,0,0,0,2.74251,0,0.49871,0.567728,0,0,0.38609,0,0,0,0,70.1838,0.362852,0.0893816,2.318902
"8","C06",4,0.356565,0,0,0,0,0,6.57802,0.759753,0.019442,1.82679,0.979916,6.09373,0,0.667786,0.204607,0,0.340187,0.514099,0,0,0,0,79.2401,0.3293758,0.16746,1.92222
"9","C12",1,0,0.690191,0,0,2.80187,0,37.6039,0,0,0,0,0.287433,0,0.442402,0,0,0,0,0,0,0,0.0243636,57.2894,0.0312793,0.274455,0.554684
"10","C12",2,0,0,0,0,3.31169,1.68095,5.69615,0,0,0,0,1.40403,0,1.13604,0,0.0214873,0,0,0,0,0,0,86.2597,0.0546095,0.435314,0
"11","C12",3,0,1.84205,0,0,2.82182,0,22.866,0,0,0,0,0,0,0.777607,0,0,0,0,0,0,0,0,71.227,0.233454,0,0.232077
"12","C12",4,0,0.436774,0,0,3.65667,2.72455,43.0776,0,0,0,0,0,0,1.14931,0,0,0,0,0,0,0,0,48.5119,0.188317,0,0.254881
"13","C13",1,0,0.265482,0,0,1.45364,0,7.29381,0,0,0,0,0,0,0.61421,0.920939,0,0,0.439888,0.79399,0,4.80642,0,82.4642,0.0276854,0,0.9197326
"14","C13",2,0.228737,0.238825,0,0,0,0.52182,2.90241,0,0,0,0,0,0,0.513187,0.516327,0.647914,0,0.560539,0.358978,0,5.20252,0,87.4399,0.0268639,0,0.842011
"15","C13",3,0,0,0,0,0.873077,0.493479,17.0632,0,0,0,0,0,0,1.61678,0.827233,0.424618,0,0.547717,0.283905,0,4.73711,0,71.448,0.161721,0,1.52317
"16","C13",4,0,0,0,0,0.316247,0,6.16143,0,0,0,0,0,0,0.197577,3.91823,0,0,0.915513,0,0,5.39752,0,80.1175,0.0948308,0,2.8812
"17","C15",1,0,0.256902,0,2.79446,0,0,0.0736595,0,0,0,0,0,0,2.08908,8.73944,0.727116,0,0,0,3.48871,0,0,81.2232,0.607432,0,0
"18","C15",2,0,0.691844,0,3.33895,0,0,0,0,0,0,0,0,0,1.81453,9.69214,2.0655,0,0,0,2.99674,0,0,79.1849,0.141642,0,0.07374
"19","C15",3,0,0,0,2.02216,0,0,0,0,0,0,0,0,0,2.93146,6.91492,1.16827,0,0,0,5.90452,0,0,81.0091,0.0495568,0,0
"20","C15",4,1.21405,0,0,3.40143,1.50192,0,0,0,0,0,0,0,0,2.31203,5.59492,2.05287,0,0,0,0,0,0,83.5785,0.344248,0,0
"21","C16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251826,1.78146,2.77069,0,0,1.09924,5.82172,0.682693,0,82.474,0.186134,3.185752,1.74647
"22","C16",2,0,0,0,0,0.197572,1.34306,0,0,0,0,0,2.1962,0,0.4397,1.92249,1.9757,0,0,0.49361,5.98682,0.522299,0,79.5425,0.14688,3.561764,1.67141
"23","C16",3,0,0,0,0,0.789949,0.352699,2.74887,0,0,0,0,3.74243,0.0891374,0.320061,2.40682,2.93704,0,0,2.19191,6.48718,0.578079,0,72.408,0.153137,3.4034349,1.39126
"24","C16",4,0,0,0,0,0,0,1.37109,0,0,0,0,2.0646,0,0.0872481,1.09082,2.39383,0,0,0.487552,4.9652,0.685411,0,81.9198,0.284217,3.2500147,1.40018
"25","C27",1,0,0.344902,0,0,3.18243,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6346,2.91892,0.103934,0,47.0449,0.715657,0.054731,0
"26","C27",2,0,0.420659,0,0,0.0172344,5.42554,3.01525,0,0,0,0,0,0,2.05892,0,0,0,0,3.87645,0,0,0,84.1135,0.999426,0.0730638,0
"27","C27",3,0,1.43618,0,0,1.57248,0,13.2547,0,0,0,0,0,0,1.23116,0,0,0,0,37.4273,6.89184,0.0594138,0,37.0621,1.06479,0,0
"28","C27",4,0.0129142,3.74602,0,0,0,0,5.54407,0,0,0,0,4.73192,0,1.28915,0,0,0,0,0,8.75339,0.0337458,0,74.9462,0.886419,0.0561285,0
"29","C28",1,0,0.407707,0,0,0,1.84498,0,0,0,0,1.18438,8.01526,0,0,0,0.848692,0,0.207938,0,7.48898,0,0,79.2323,0.0693294,0.700427,0
"30","C28",2,0,0.705637,0,0.0369948,0,2.6578,0,0,0,0,5.81997,8.83848,0,0,0,0.420887,0,0.140801,0,3.70679,0,0,76.7383,0.121388,0.812951,0
"31","C28",3,0,0,0,0.074383,0.731709,0,2.70923,0,0,0,0,5.42987,0,0.172176,0.122288,1.57353,0,0,0,0,0,0,88.1218,0.0867922,0.978268,0
"32","C28",4,0,0,0,0.0920161,5.29662,0,5.06238,0,0,0,3.56031,6.46818,0,0,0,1.82168,0,0,0,0,0,0,76.3567,0,1.34212,0
